filename	model_title	model_iri	node	Node_types	property	Intended_range_shapes	object	Object_types	Object_shapes
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-109514	[GO:0008253]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-109514_location_lociGO_0005759	[GO:0005759]	[]
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-73620_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-73616	[GO:0017113]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-73616_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-73620	[GO:0003837]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-73620_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-909780	[GO:0047305]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-909780_location_lociGO_0005759	[GO:0005759]	[]
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-73591	[GO:0003837]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-73591_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-73589_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-73618_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-109514_location_lociGO_0005759	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-112265	[GO:0016763]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-112265_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-109380_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:reaction_R-HSA-109449_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-109291	[GO:0008253]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-109291_location_lociGO_0005886	[GO:0005886]	[]
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-73621	gomodel:R-HSA-73589	[GO:0004157]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-73589_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:reaction_R-HSA-109671_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:reaction_R-HSA-74213_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-109671	[GO:0019206]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-109671_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-2161187	[GO:0062154]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-2161187_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-2161187	[GO:0062154]	RO:0002233	[obo:go/shapes/ChemicalEntity, obo:go/shapes/ProteinContainingComplex]	gomodel:R-ALL-9731626_R-HSA-2161187	[obo:go/extensions/reacto.owl#REACTO_R-ALL-9731626]	[obo:go/shapes/ProvenanceAnnotated, obo:go/shapes/GoCamEntity]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-2161187	[GO:0062154]	RO:0002234	[obo:go/shapes/ChemicalEntity, obo:go/shapes/ProteinContainingComplex]	gomodel:R-ALL-9731652_R-HSA-2161187	[obo:go/extensions/reacto.owl#REACTO_R-ALL-9731652]	[obo:go/shapes/ProvenanceAnnotated, obo:go/shapes/GoCamEntity]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-74241	[GO:0004000]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-74241_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-74213	[GO:0003999]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-74213_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:reaction_R-HSA-76590_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-74207	[GO:0019136]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-74207_location_lociGO_0005759	[GO:0005759]	[]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-112033	[GO:0004731]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-112033_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:reaction_R-HSA-112034_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:reaction_R-HSA-109624_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:reaction_R-HSA-74241_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:reaction_R-HSA-9731661_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-112034	[GO:0004731]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-112034_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:reaction_R-HSA-74215_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:reaction_R-HSA-112033_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-76590	[GO:0003876]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-76590_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-9731661	[GO:0062154]	RO:0002233	[obo:go/shapes/ChemicalEntity, obo:go/shapes/ProteinContainingComplex]	gomodel:R-ALL-9731609_R-HSA-9731661	[obo:go/extensions/reacto.owl#REACTO_R-ALL-9731609]	[obo:go/shapes/ProvenanceAnnotated, obo:go/shapes/GoCamEntity]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-9731661	[GO:0062154]	RO:0002234	[obo:go/shapes/ChemicalEntity, obo:go/shapes/ProteinContainingComplex]	gomodel:R-ALL-9731659_R-HSA-9731661	[obo:go/extensions/reacto.owl#REACTO_R-ALL-9731659]	[obo:go/shapes/ProvenanceAnnotated, obo:go/shapes/GoCamEntity]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-9731661	[GO:0062154]	RO:0002234	[obo:go/shapes/ChemicalEntity, obo:go/shapes/ProteinContainingComplex]	gomodel:R-ALL-9731652_R-HSA-9731661	[obo:go/extensions/reacto.owl#REACTO_R-ALL-9731652]	[obo:go/shapes/ProvenanceAnnotated, obo:go/shapes/GoCamEntity]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-9731661	[GO:0062154]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-9731661_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-109624	[GO:0004001]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-109624_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:reaction_R-HSA-514604_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:reaction_R-HSA-2161187_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-74215	[GO:0004422]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-74215_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:reaction_R-HSA-74207_location_lociGO_0005759	null	dc11:date	null	null	null	null
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://model.geneontology.org/R-HSA-74217	gomodel:R-HSA-514604	[GO:0003920]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-514604_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-74255_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-74242	[GO:0004731]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-74242_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-109387_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-8953339_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-109387	[GO:0008253]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-109387_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-74242_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-109470_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-9727349	[GO:0004854]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-9727349_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-74247	[GO:0070675]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-74247_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-74249_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-109415	[GO:0008253]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-109415_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-109415_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-2509831_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-74247_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-2509827	[GO:0036220]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-2509827_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-2509831	[GO:0036222]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-2509831_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-109470	[GO:0008253]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-109470_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-9727347	[GO:0070674]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-9727347_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-74255	[GO:0008892]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-74255_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-74258_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-74248_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-2509838	[GO:0035870]	RO:0002234	[obo:go/shapes/ChemicalEntity, obo:go/shapes/ProteinContainingComplex]	gomodel:R-ALL-9731659_R-HSA-2509838	[obo:go/extensions/reacto.owl#REACTO_R-ALL-9731659]	[obo:go/shapes/ProvenanceAnnotated, obo:go/shapes/GoCamEntity]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-2509838	[GO:0035870]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-2509838_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-8953339	[GO:0070694]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-8953339_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-109278	[GO:0008253]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-109278_location_lociGO_0005886	[GO:0005886]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-74249	[GO:0004731]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-74249_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-2509827_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-9727349_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-74258	[GO:0004855]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-74258_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:R-HSA-74248	[GO:0008253]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-74248_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-109278_location_lociGO_0005886	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-9727347_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://model.geneontology.org/R-HSA-74259	gomodel:reaction_R-HSA-2509838_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:R-HSA-73798	[GO:0004643]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-73798_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:reaction_R-HSA-73814_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:reaction_R-HSA-9678749_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:R-HSA-73806	[GO:0004638]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-73806_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:reaction_R-HSA-73794_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:reaction_R-HSA-111285_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:reaction_R-HSA-73805_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:R-HSA-73797	[GO:0003937]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-73797_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:reaction_R-HSA-73798_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:reaction_R-HSA-73828_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:reaction_R-HSA-73792_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:reaction_R-HSA-111524_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:R-HSA-73815	[GO:0004044]	BFO:0000066	[obo:go/shapes/AnatomicalEntity]	gomodel:reaction_R-HSA-73815_location_lociGO_0005829	[GO:0005829]	[]
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:reaction_R-HSA-73815_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:reaction_R-HSA-73812_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:reaction_R-HSA-73813_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:reaction_R-HSA-111289_location_lociGO_0005829	null	dc11:date	null	null	null	null
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://model.geneontology.org/R-HSA-73817	gomodel:reaction_R-HSA-73800_location_lociGO_0005829	null	dc11:date	null	null	null	null
