filename	model_title	model_url	modelstate	contributor	provider	date	activity_iri	activity_xref	activity_label	complete	inputs	outputs	enablers	locations	causal upstream	causal downstream	part of n BP	MF	BP
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-109380	"Reactome:R-HSA-109380"	"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)"	true	2	2	1	1	1	0	1	5'-nucleotidase activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-73589	"Reactome:R-HSA-73589"	"5,6-dihydrouracil + H2O => beta-ureidopropionate"	true	2	2	1	1	0	0	1	dihydropyrimidinase activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-112265	"Reactome:R-HSA-112265"	"thymidine or deoxyuridine + orthophosphate <=> thymine or uracil + 2-deoxy-D-ribose 1-phosphate [TYMP]"	true	2	2	1	1	0	0	1	pentosyltransferase activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-109449	"Reactome:R-HSA-109449"	"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)"	true	2	2	1	1	0	0	1	5'-nucleotidase activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-73616	"Reactome:R-HSA-73616"	"reduction of thymine to form 5,6-Dihydrothymine"	true	3	2	1	1	0	0	1	dihydropyrimidine dehydrogenase (NADP+) activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-109380_regulator_RO_0002213_R-ALL-29370_R-HSA-109380_controller	null	null	false	1	0	1	0	0	1	1	binding 	biological_process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-909765	"Reactome:R-HSA-909765"	"Mitochondrial uptake of beta-alanine"	false	1	1	0	0	0	0	1	transporter activity 	pyrimidine nucleoside catabolic process 
R-HSA-73621.ttl	Pyrimidine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73621	development	[https://reactome.org/content/detail/R-HSA-73621]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-109291	"Reactome:R-HSA-109291"	"CMP or TMP or UMP + H2O => cytidine, thymidine, or uridine + orthophosphate [NT5E]"	true	2	2	1	1	0	0	1	5'-nucleotidase activity 	pyrimidine nucleoside catabolic process 
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74217	development	[https://reactome.org/content/detail/R-HSA-74217]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-74207	"Reactome:R-HSA-74207"	"dA, dG, or dI + ATP => dAMP, dGMP, or dIMP + ADP (DGUOK)"	true	2	2	1	1	0	0	1	deoxynucleoside kinase activity 	purine-containing compound salvage 
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74217	development	[https://reactome.org/content/detail/R-HSA-74217]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-2161187	"Reactome:R-HSA-2161187"	"Deamination of N6-methyl-AMP to form IMP"	true	3	2	1	1	0	0	1	N6-mAMP deaminase activity 	purine-containing compound salvage 
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74217	development	[https://reactome.org/content/detail/R-HSA-74217]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-74215	"Reactome:R-HSA-74215"	"guanine or hypoxanthine + PRPP => GMP or IMP + PPi (HPRT1)"	true	2	2	1	1	0	0	1	hypoxanthine phosphoribosyltransferase activity 	purine-containing compound salvage 
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74217	development	[https://reactome.org/content/detail/R-HSA-74217]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-109624	"Reactome:R-HSA-109624"	"(2'-deoxy)adenosine + ATP => (d)AMP + ADP (ADK)"	true	2	2	1	1	0	0	1	adenosine kinase activity 	purine-containing compound salvage 
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74217	development	[https://reactome.org/content/detail/R-HSA-74217]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-76590	"Reactome:R-HSA-76590"	"AMP + H2O => IMP + NH4+ (AMPD)"	true	2	2	1	1	0	0	1	AMP deaminase activity 	purine-containing compound salvage 
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74217	development	[https://reactome.org/content/detail/R-HSA-74217]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-9731661	"Reactome:R-HSA-9731661"	"ADAL1 hydrolyzes N6-methyl-dAMP to dIMP and methylamine"	true	3	2	1	1	0	0	1	N6-mAMP deaminase activity 	purine-containing compound salvage 
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74217	development	[https://reactome.org/content/detail/R-HSA-74217]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-112034	"Reactome:R-HSA-112034"	"PNP catalyzes the conversion of guanine and (deoxy)ribose to (deoxy)guanosine"	true	2	2	1	1	0	0	1	purine-nucleoside phosphorylase activity 	purine-containing compound salvage 
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74217	development	[https://reactome.org/content/detail/R-HSA-74217]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-514604	"Reactome:R-HSA-514604"	"GMP + NADPH + H+ => IMP + NADP+ + NH4+ (GMPR,GMPR2)"	true	3	3	1	1	0	0	1	GMP reductase activity 	purine-containing compound salvage 
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74217	development	[https://reactome.org/content/detail/R-HSA-74217]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-112033	"Reactome:R-HSA-112033"	"PNP catalyzes the conversion of hypoxanthine and (deoxy)ribose to (deoxy)inosine"	true	2	2	1	1	0	0	1	purine-nucleoside phosphorylase activity 	purine-containing compound salvage 
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74217	development	[https://reactome.org/content/detail/R-HSA-74217]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-74213	"Reactome:R-HSA-74213"	"Adenine + PRPP => AMP + PPi"	true	2	2	1	1	0	0	1	adenine phosphoribosyltransferase activity 	purine-containing compound salvage 
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74217	development	[https://reactome.org/content/detail/R-HSA-74217]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-74241	"Reactome:R-HSA-74241"	"ADA catalyzes the deamination of (deoxy)adenosine"	true	2	2	1	1	0	0	1	adenosine deaminase activity 	purine-containing compound salvage 
R-HSA-74217.ttl	Purine salvage - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74217	development	[https://reactome.org/content/detail/R-HSA-74217]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-109671	"Reactome:R-HSA-109671"	"deoxyadenosine or deoxyguanosine + ATP => dAMP or dGMP + ADP (DCK)"	true	2	2	1	1	0	0	1	nucleoside kinase activity 	purine-containing compound salvage 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-2509838_regulator_RO_0002213_R-ALL-29926_R-HSA-2509838_controller	null	null	false	1	0	1	0	0	1	1	binding 	biological_process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-2509827	"Reactome:R-HSA-2509827"	"ITP + H2O => IMP + PPi"	true	2	3	1	1	1	0	1	ITP diphosphatase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-109387	"Reactome:R-HSA-109387"	"(2'-deoxy)purine nucleoside 5'-monophosphate + H2O => (2'-deoxy)purine nucleoside + orthophosphate [NT5C1A]"	true	2	2	1	1	1	0	1	5'-nucleotidase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-109415	"Reactome:R-HSA-109415"	"AMP + H2O => adenosine + orthophosphate [NT5C1B]"	true	2	2	1	1	1	0	1	5'-nucleotidase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-74247	"Reactome:R-HSA-74247"	"XDH oxidizes hypoxanthine to form xanthine"	true	3	2	1	1	0	0	1	hypoxanthine oxidase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-74258	"Reactome:R-HSA-74258"	"XDH oxidizes xanthine to form urate"	true	3	2	1	1	0	0	1	xanthine oxidase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-2509831_regulator_RO_0002213_R-ALL-29926_R-HSA-2509831_controller	null	null	false	1	0	1	0	0	1	1	binding 	biological_process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-74248	"Reactome:R-HSA-74248"	"(d)GMP or (d)IMP + H2O => (2'-deoxy)guanosine or (2'-deoxy)inosine + orthophosphate (NT5C2)"	true	2	2	1	1	0	0	1	5'-nucleotidase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-109415_regulator_RO_0002213_R-ALL-29370_R-HSA-109415_controller	null	null	false	1	0	1	0	0	1	1	binding 	biological_process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-74242	"Reactome:R-HSA-74242"	"PNP catalyzes the conversion of (deoxy)inosine to hypoxanthine and (deoxy)ribose"	true	2	2	1	1	0	0	1	purine-nucleoside phosphorylase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-109278	"Reactome:R-HSA-109278"	"NT5E:Zn2+ hydrolyses AMP,dAMP,GMP, IMP"	true	2	2	1	1	0	0	1	5'-nucleotidase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-74249	"Reactome:R-HSA-74249"	"PNP catalyzes the conversion of (deoxy)guanosine to guanine and (deoxy)ribose"	true	2	2	1	1	0	0	1	purine-nucleoside phosphorylase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-9727349	"Reactome:R-HSA-9727349"	"XDH dehydrogenates xanthine to form urate"	true	3	3	1	1	0	0	1	xanthine dehydrogenase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-8953339	"Reactome:R-HSA-8953339"	"DNPH1 hydrolyses dGMP"	true	2	2	1	1	0	0	1	deoxyribonucleoside 5'-monophosphate N-glycosidase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-2509827_regulator_RO_0002213_R-ALL-29926_R-HSA-2509827_controller	null	null	false	1	0	1	0	0	1	1	binding 	biological_process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-109470	"Reactome:R-HSA-109470"	"(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C)"	true	2	2	1	1	0	0	1	5'-nucleotidase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-2509831	"Reactome:R-HSA-2509831"	"XTP + H2O => XMP + PPi"	true	2	3	1	1	1	0	1	XTP diphosphatase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-9727347	"Reactome:R-HSA-9727347"	"XDH dehydrogenates hypoxanthine to form xanthine"	true	3	3	1	1	0	0	1	hypoxanthine dehydrogenase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-2509838	"Reactome:R-HSA-2509838"	"dITP + H2O => dIMP + PPi"	true	2	3	1	1	1	0	1	dITP diphosphatase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-74255	"Reactome:R-HSA-74255"	"Guanine + H2O => Xanthine + NH4+"	true	3	2	1	1	0	0	1	guanine deaminase activity 	purine nucleotide catabolic process 
R-HSA-74259.ttl	Purine catabolism - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-74259	development	[https://reactome.org/content/detail/R-HSA-74259]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-109387_regulator_RO_0002213_R-ALL-29370_R-HSA-109387_controller	null	null	false	1	0	1	0	0	1	1	binding 	biological_process 
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73817	development	[https://reactome.org/content/detail/R-HSA-73817]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-111524_regulator_RO_0002212_R-ALL-30014_R-HSA-111524_controller	null	null	false	1	0	1	0	0	1	1	binding 	biological_process 
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73817	development	[https://reactome.org/content/detail/R-HSA-73817]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-73806	"Reactome:R-HSA-73806"	"AIR + CO2 => CAIR"	true	2	2	1	1	0	0	1	phosphoribosylaminoimidazole carboxylase activity 	purine ribonucleoside monophosphate biosynthetic process 
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73817	development	[https://reactome.org/content/detail/R-HSA-73817]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-73798	"Reactome:R-HSA-73798"	"AICAR + 10-Formyl-THF => FAICAR + THF"	true	2	2	1	1	0	0	1	phosphoribosylaminoimidazolecarboxamide formyltransferase activity 	purine ribonucleoside monophosphate biosynthetic process 
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73817	development	[https://reactome.org/content/detail/R-HSA-73817]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-73792	"Reactome:R-HSA-73792"	"XMP + L-Glutamine + ATP + H2O => GMP + L-Glutamate + AMP + pyrophosphate"	true	4	5	1	1	0	0	1	GMP synthase (glutamine-hydrolyzing) activity 	purine ribonucleoside monophosphate biosynthetic process 
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73817	development	[https://reactome.org/content/detail/R-HSA-73817]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-73797	"Reactome:R-HSA-73797"	"FAICAR => IMP + H2O"	true	1	2	1	1	0	0	1	IMP cyclohydrolase activity 	purine ribonucleoside monophosphate biosynthetic process 
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73817	development	[https://reactome.org/content/detail/R-HSA-73817]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-73813	"Reactome:R-HSA-73813"	"GAR + 10-Formyl-THF => FGAR + THF"	true	2	3	1	1	0	0	1	phosphoribosylglycinamide formyltransferase activity 	purine ribonucleoside monophosphate biosynthetic process 
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73817	development	[https://reactome.org/content/detail/R-HSA-73817]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-111285_regulator_RO_0002213_R-ALL-113578_R-HSA-111285_controller	null	null	false	1	0	0	0	0	1	1	Molecular Event 	biological_process 
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73817	development	[https://reactome.org/content/detail/R-HSA-73817]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-111289_regulator_RO_0002213_R-ALL-73566_R-HSA-111289_controller	null	null	false	1	0	0	0	0	1	1	Molecular Event 	biological_process 
R-HSA-73817.ttl	Purine ribonucleoside monophosphate biosynthesis - imported from: Reactome	http://noctua-dev.berkeleybop.org/editor/graph/gomodel:R-HSA-73817	development	[https://reactome.org/content/detail/R-HSA-73817]	[https://reactome.org]	2021-07-27	http://model.geneontology.org/R-HSA-73794	"Reactome:R-HSA-73794"	"IMP + H2O + NAD+ => XMP + NADH + H+ [IMPDH1,2]"	true	3	3	1	1	1	0	1	IMP dehydrogenase activity 	purine ribonucleoside monophosphate biosynthetic process 
